sample_depth_m,sample_depth,sigma_geom,status,r_geom_mean_min_m,r_geom_mean_max_m,r_geom_mean_interval,best_p_stratified,best_r_geom_mean_m,max_truncation_loss,rejected_rbar_count
0.0001,0.1 mm,1.05,accepted,3.131629302740652e-08,2.549173014732109e-07,31 nm - 255 nm,1.0,5.2896579431334484e-08,0.003615729530207834,0
0.0001,0.1 mm,1.1,partial_rejected_truncation,3.131629302740652e-08,2.549173014732109e-07,31 nm - 255 nm,1.0000000000000002,6.874738919994404e-08,0.08456808850040576,2
0.0001,0.1 mm,1.2,partial_rejected_truncation,4.0700427290375654e-08,1.9614204179567803e-07,41 nm - 196 nm,0.9999999999013902,8.934799891822321e-08,0.23613662929410129,2
0.0001,0.1 mm,1.4,partial_rejected_truncation,4.0700427290375654e-08,1.9614204179567803e-07,41 nm - 196 nm,0.9995439795225873,8.934799891822321e-08,0.34845963287944015,4
0.0001,0.1 mm,1.6,partial_rejected_truncation,5.2896579431334484e-08,1.5091835798293322e-07,53 nm - 151 nm,0.9879080503426343,8.934799891822321e-08,0.3901885184455043,6
0.0005,0.5 mm,1.05,accepted,1.8540144174189158e-08,1.5091835798293322e-07,19 nm - 151 nm,1.0,3.131629302740652e-08,0.003615729530207834,0
0.0005,0.5 mm,1.1,partial_rejected_truncation,1.8540144174189158e-08,1.5091835798293322e-07,19 nm - 151 nm,1.0000000000000002,6.874738919994404e-08,0.08456808850040576,2
0.0005,0.5 mm,1.2,partial_rejected_truncation,2.4095820959852592e-08,1.1612171754585431e-07,24 nm - 116 nm,0.9999999999013902,5.2896579431334484e-08,0.23613662929410129,2
0.0005,0.5 mm,1.4,partial_rejected_truncation,2.4095820959852592e-08,1.1612171754585431e-07,24 nm - 116 nm,0.9995439795226553,5.2896579431334484e-08,0.34845963287944015,4
0.0005,0.5 mm,1.6,partial_rejected_truncation,3.131629302740652e-08,8.934799891822321e-08,31 nm - 89 nm,0.9879081081898885,5.2896579431334484e-08,0.3901885184455043,6
0.001,1 mm,1.05,accepted,1.8540144174189158e-08,1.9614204179567803e-07,19 nm - 196 nm,1.0,3.131629302740652e-08,0.003615729530207834,0
0.001,1 mm,1.1,partial_rejected_truncation,1.8540144174189158e-08,1.9614204179567803e-07,19 nm - 196 nm,1.0000000000000002,6.874738919994404e-08,0.08456808850040576,2
0.001,1 mm,1.2,partial_rejected_truncation,2.4095820959852592e-08,1.5091835798293322e-07,24 nm - 151 nm,0.9999999999506938,5.2896579431334484e-08,0.23613662929410129,2
0.001,1 mm,1.4,partial_rejected_truncation,2.4095820959852592e-08,1.5091835798293322e-07,24 nm - 151 nm,0.9997628242919163,5.2896579431334484e-08,0.34845963287944015,4
0.001,1 mm,1.6,partial_rejected_truncation,3.131629302740652e-08,1.1612171754585431e-07,31 nm - 116 nm,0.9928733686412503,5.2896579431334484e-08,0.3901885184455043,6
0.002,2 mm,1.05,accepted,1.8540144174189158e-08,2.549173014732109e-07,19 nm - 255 nm,1.0,3.131629302740652e-08,0.003615729530207834,0
0.002,2 mm,1.1,partial_rejected_truncation,1.8540144174189158e-08,2.549173014732109e-07,19 nm - 255 nm,1.0000000000000002,6.874738919994404e-08,0.08456808850040576,2
0.002,2 mm,1.2,partial_rejected_truncation,2.4095820959852592e-08,1.9614204179567803e-07,24 nm - 196 nm,0.9999999999999973,6.874738919994404e-08,0.23613662929410129,2
0.002,2 mm,1.4,partial_rejected_truncation,2.4095820959852592e-08,1.9614204179567803e-07,24 nm - 196 nm,0.9999816690611094,6.874738919994404e-08,0.34845963287944015,4
0.002,2 mm,1.6,partial_rejected_truncation,3.131629302740652e-08,1.5091835798293322e-07,31 nm - 151 nm,0.9978385729671307,6.874738919994404e-08,0.3901885184455043,6
0.01,10 mm,1.05,accepted,1.8540144174189158e-08,5.596096231070959e-07,19 nm - 560 nm,1.0,3.131629302740652e-08,0.003615729530207834,0
0.01,10 mm,1.1,partial_rejected_truncation,1.8540144174189158e-08,5.596096231070959e-07,19 nm - 560 nm,1.0000000000000002,6.874738919994404e-08,0.08456808850040576,2
0.01,10 mm,1.2,partial_rejected_truncation,2.4095820959852592e-08,4.3058267701092107e-07,24 nm - 431 nm,1.0,8.934799891822321e-08,0.23613662929410129,2
0.01,10 mm,1.4,partial_rejected_truncation,2.4095820959852592e-08,4.3058267701092107e-07,24 nm - 431 nm,0.9999997913644953,8.934799891822321e-08,0.34845963287944015,4
0.01,10 mm,1.6,partial_rejected_truncation,3.131629302740652e-08,3.3130495632383106e-07,31 nm - 331 nm,0.9998409639574427,8.934799891822321e-08,0.3901885184455043,6
